"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3229741","Javier  Prades and Federico  Silla","","","","Made-to-Measure GPUs on Virtual Machines with rCUDA","19:1--19:8","19","8","CUDA, GPU virtualization, PCI-Passthrough, rCUDA, virtual machine","10.1145/3229710.3229741","","","","","","","2018","","Proceedings of the 47th International Conference on Parallel Processing Companion","ICPP '18","","978-1-4503-6523-9","Eugene, OR, USA","ACM","New York, NY, USA"
"article","2414308","Zhe  Huang and Danny H. K. Tsang and James  She","","","","A Virtual Machine Consolidation Framework for MapReduce Enabled Computing Clouds","26:1--26:8","26","8","","","","","","","","","2012","","Proceedings of the 24th International Teletraffic Congress","ITC '12","","978-1-4503-1896-9","Krakow, Poland","International Teletraffic Congress",""
"article","1736003","Yijian  Huang and Haibo  Chen and Binyu  Zang","","","","Optimizing Crash Dump in Virtualized Environments","25--36","","12","core dump, parallel core dump, virtual machines","10.1145/1837854.1736003","SIGPLAN Not.","July 2010","45","7","","March","2010","0362-1340","","","","","","ACM","New York, NY, USA"
"article","1736003","Yijian  Huang and Haibo  Chen and Binyu  Zang","","","","Optimizing Crash Dump in Virtualized Environments","25--36","","12","core dump, parallel core dump, virtual machines","10.1145/1735997.1736003","","","","","","","2010","","Proceedings of the 6th ACM SIGPLAN/SIGOPS International Conference on Virtual Execution Environments","VEE '10","","978-1-60558-910-7","Pittsburgh, Pennsylvania, USA","ACM","New York, NY, USA"
"article","2944167","Nour M. Azmy and Islam A.M. El-Maddah and Hoda K. Mohamed","","","","Adaptive Power Panel of Cloud Computing Controlling Cloud Power Consumption","9--14","","6","Adaptive, Allocation, Cloudsim, Green Computing, Migration, Placement, Selection, Virtual Machine","10.1145/2944165.2944167","","","","","","","2016","","Proceedings of the 2Nd Africa and Middle East Conference on Software Engineering","AMECSE '16","","978-1-4503-4293-3","Cairo, Egypt","ACM","New York, NY, USA"
"article","1791322","Marko  Hoyer and Kiril  Schr&#246;der and Wolfgang  Nebel","","","","Statistical Static Capacity Management in Virtualized Data Centers Supporting Fine Grained QoS Specification","51--60","","10","correlated workload, data centers, energy efficiency, power-performance trade-off, quality of service, resource allocation, virtualization","10.1145/1791314.1791322","","","","","","","2010","","Proceedings of the 1st International Conference on Energy-Efficient Computing and Networking","e-Energy '10","","978-1-4503-0042-1","Passau, Germany","ACM","New York, NY, USA"
"article","3267816","Ki-Dong  Kang and Mohammad  Alian and Daehoon  Kim and Jaehyuk  Huh and Nam Sung Kim","","","","VIP: Virtual Performance-State for Efficient Power Management of Virtual Machines","237--248","","12","Cloud Computing, Dynamic Voltage and Frequency Scaling, Power Management, Virtualization","10.1145/3267809.3267816","","","","","","","2018","","Proceedings of the ACM Symposium on Cloud Computing","SoCC '18","","978-1-4503-6011-1","Carlsbad, CA, USA","ACM","New York, NY, USA"
"article","2760021","Julio Proa&#241;o Orellana and Mar&#237;a Blanca Caminero and Carmen  Carri&#243;n","","","","On the Provision of SaaS-Level Quality of Service Within Heterogeneous Private Clouds","146--155","","10","Cloud Computing, SaaS, Quality of Service, FPGAs, Heterogeneous Resources","10.1109/UCC.2014.23","","","","","","","2014","","Proceedings of the 2014 IEEE/ACM 7th International Conference on Utility and Cloud Computing","UCC '14","","978-1-4799-7881-6","","IEEE Computer Society","Washington, DC, USA"
"article","3281041","Haiying  Shen and Liuhua  Chen","","","","CompVM: A Complementary VM Allocation Mechanism for Cloud Systems","1348--1361","","14","","10.1109/TNET.2018.2822627","IEEE/ACM Trans. Netw.","June 2018","26","3","","June","2018","1063-6692","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","2835078","Abiola  Adegboyega","","","","An Adaptive Resource Provisioning Scheme for Effective QoS Maintenance in the IaaS Cloud","2:1--2:6","2","6","Forecasting, QoS, SDN, Virtualization, Volatility","10.1145/2835075.2835078","","","","","","","2011","","Proceedings of the International Workshop on Virtualization Technologies","VT15","","978-1-4503-3732-8","Vancouver, BC, Canada","ACM","New York, NY, USA"
"article","2485610","Jungsoo  Kim and Martino  Ruggiero and David  Atienza and Marcel  Lederberger","","","","Correlation-aware Virtual Machine Allocation for Energy-efficient Datacenters","1345--1350","","6","","","","","","","","","2013","","Proceedings of the Conference on Design, Automation and Test in Europe","DATE '13","","978-1-4503-2153-2","Grenoble, France","EDA Consortium","San Jose, CA, USA"
"article","2318719","Marko  Hoyer and Kiril  Schr&#246;der and Daniel  Schlitt and Wolfgang  Nebel","","","","Proactive Dynamic Resource Management in Virtualized Data Centers","11--20","","10","data centers, energy efficiency, load management, power-management, quality of service, resource management, virtualization","10.1145/2318716.2318719","","","","","","","2011","","Proceedings of the 2Nd International Conference on Energy-Efficient Computing and Networking","e-Energy '11","","978-1-4503-1313-1","New York, New York, USA","ACM","New York, NY, USA"
"article","2016653","Hui  Wang and Peter  Varman","","","","A Flexible Approach to Efficient Resource Sharing in Virtualized Environments","39:1--39:10","39","10","QoS, VM, performance isolation, resource allocation, storage performance virtualization","10.1145/2016604.2016653","","","","","","","2011","","Proceedings of the 8th ACM International Conference on Computing Frontiers","CF '11","","978-1-4503-0698-0","Ischia, Italy","ACM","New York, NY, USA"
"article","2998374","Fabio  L&#243;pez-Pires and Benjam&#237;n  Bar&#225;n and Augusto  Amarilla and Leonardo  Ben&#237;tez and Rodrigo  Ferreira and Sa&#250;l  Zalimben","","","","An Experimental Comparison of Algorithms for Virtual Machine Placement Considering Many Objectives","1--8","","8","Cloud Computing, Experimental Comparison, Online Algorithms, Optimization, Virtual Machine Placement","10.1145/2998373.2998374","","","","","","","2016","","Proceedings of the 9th Latin America Networking Conference","LANC '16","","978-1-4503-4591-0","Valparaiso, Chile","ACM","New York, NY, USA"
"article","2962565","Seyed Saeid Masoumzadeh and Helmut  Hlavacs","","","","A Gossip-Based Dynamic Virtual Machine Consolidation Strategy for Large-Scale Cloud Data Centers","28--34","","7","Cloud Computing, Dynamic Virtual Machine Consolidation, Gossip Protocol, Unstructured P2P Networks","10.1145/2962564.2962565","","","","","","","2016","","Proceedings of the Third International Workshop on Adaptive Resource Management and Scheduling for Cloud Computing","ARMS-CC'16","","978-1-4503-4227-8","Chicago, IL, USA","ACM","New York, NY, USA"
"article","3154341","Arijit  Roy and Sudip  Misra and Sayan  Ghosh","","","","QoS-Aware Dynamic Caching for Destroyed Virtual Machines in Sensor-Cloud Architecture","28:1--28:7","28","7","Destroyed virtual machine, Dynamic caching, QoS, Sensor-cloud, Wireless Sensor Networks","10.1145/3154273.3154341","","","","","","","2018","","Proceedings of the 19th International Conference on Distributed Computing and Networking","ICDCN '18","","978-1-4503-6372-3","Varanasi, India","ACM","New York, NY, USA"
"article","2525938","Kashifuddin  Qazi and Yang  Li and Andrew  Sohn","","","","PoWER: Prediction of Workload for Energy Efficient Relocation of Virtual Machines","31:1--31:2","31","2","","10.1145/2523616.2525938","","","","","","","2013","","Proceedings of the 4th Annual Symposium on Cloud Computing","SOCC '13","","978-1-4503-2428-1","Santa Clara, California","ACM","New York, NY, USA"
"article","2208832","Corentin  Dupont and Thomas  Schulze and Giovanni  Giuliani and Andrey  Somov and Fabien  Hermenier","","","","An Energy Aware Framework for Virtual Machine Placement in Cloud Federated Data Centres","4:1--4:10","4","10","cloud computing, constraint programming, data centre, energy efficiency, resource management, service level agreement, virtualization","10.1145/2208828.2208832","","","","","","","2012","","Proceedings of the 3rd International Conference on Future Energy Systems: Where Energy, Computing and Communication Meet","e-Energy '12","","978-1-4503-1055-0","Madrid, Spain","ACM","New York, NY, USA"
"article","2992228","Hongxing  Li and Chuan  Wu and Zongpeng  Li and Francis C. M. Lau","","","","Virtual Machine Trading in a Federation of Clouds: Individual Profit and Social Welfare Maximization","1827--1840","","14","double auction, federated cloud, individual profit, social welfare, stochastic optimization, virtual machine trading","10.1109/TNET.2015.2435015","IEEE/ACM Trans. Netw.","June 2016","24","3","","June","2016","1063-6692","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","2502559","Faruk  Caglar and Shashank  Shekhar and Kyoungho  An and Aniruddha  Gokhale","","","","Intelligent Power- and Performance-aware Tradeoffs for Multicore Servers in Cloud Data Centers","241--241","","1","energy, middleware, multicore, neural networks","10.1145/2502524.2502559","","","","","","","2013","","Proceedings of the ACM/IEEE 4th International Conference on Cyber-Physical Systems","ICCPS '13","","978-1-4503-1996-6","Philadelphia, Pennsylvania","ACM","New York, NY, USA"
"article","2677907","Vivek  Shrivastava and D. S. Bhilare","","","","COMMA: A Cost Oriented, Market and Migration Aware Leasing Policy and Algorithm in IaaS Clouds","52:1--52:7","52","7","COMMA, Cloud Computing, Cost, IaaS Clouds, Market-oriented policy, VM Migration","10.1145/2677855.2677907","","","","","","","2014","","Proceedings of the 2014 International Conference on Information and Communication Technology for Competitive Strategies","ICTCS '14","","978-1-4503-3216-3","Udaipur, Rajasthan, India","ACM","New York, NY, USA"
"article","3190557","Manohar  Vanga and Arpan  Gujarati and Bj&#246;rn B. Brandenburg","","","","Tableau: A High-throughput and Predictable VM Scheduler for High-density Workloads","28:1--28:16","28","16","hypervisor scheduling, real-time scheduling, virtualization","10.1145/3190508.3190557","","","","","","","2018","","Proceedings of the Thirteenth EuroSys Conference","EuroSys '18","","978-1-4503-5584-1","Porto, Portugal","ACM","New York, NY, USA"
"article","3140121","Swati  Sharma and Rishabh  Kaushal","","","","Energy Conserving Secure VM Allocation in Untrusted Cloud Computing Environment","73--81","","9","Cloud Computing, Green Computing, Security","10.1145/3140107.3140121","","","","","","","2017","","Proceedings of the 10th Annual ACM India Compute Conference","Compute '17","","978-1-4503-5323-6","Bhopal, India","ACM","New York, NY, USA"
"article","2480349","Ted H. Szymanski","","","","Low Latency Energy Efficient Communications in Global-scale Cloud Computing Systems","13--22","","10","cloud computing, data centers, energy efficiency, global scale, internet, maximum flow, minimum cost, minimum energy, minimum latency, quality of service, routing","10.1145/2480347.2480349","","","","","","","2013","","Proceedings of the 2013 Workshop on Energy Efficient High Performance Parallel and Distributed Computing","EEHPDC '13","","978-1-4503-1980-5","New York, New York, USA","ACM","New York, NY, USA"
"article","3180615","Xin  Ji and Jun-Wei  Yang and Qiang-Xin  Hu","","","","Network-Aware Virtual Machine Allocation for Cloud Data Centers","105--109","","5","Cloud data center, Load balancing, Network-aware, SLA, Virtual machine","10.1145/3180496.3180615","","","","","","","2017","","Proceedings of the 2017 International Conference on Wireless Communications, Networking and Applications","WCNA 2017","","978-1-4503-5344-1","Shenzhen, China","ACM","New York, NY, USA"
"article","3086449","Tuan Minh Ha and Masaki  Samejima and Norihisa  Komoda","","","","Power and Performance Estimation for Fine-Grained Server Power Capping via Controlling Heterogeneous Applications","11:1--11:19","11","19","Server power capping, piecewise linear regression, power consumption, response time","10.1145/3086449","ACM Trans. Manage. Inf. Syst.","September 2017","8","4","","August","2017","2158-656X","","","","","","ACM","New York, NY, USA"
"article","2833446","Anshu  Yadav and Varsha  Apte","","","","Dynamic Server Consolidation Algorithms: A Profit Model for Evaluation and an Improvement","31:1--31:4","31","4","dynamic server consolidation, profit model, stability","10.1145/2833312.2833446","","","","","","","2016","","Proceedings of the 17th International Conference on Distributed Computing and Networking","ICDCN '16","","978-1-4503-4032-8","Singapore, Singapore","ACM","New York, NY, USA"
"article","3101273","Albino  Altomare and Eugenio  Cesario","","","","A Data-driven Approach Based on Auto-Regressive Models for Energy-Efficient Clouds","1062--1069","","8","Cloud computing, data-driven approaches for energy-aware Cloud, energy efficiency, forecasting","10.1109/CCGRID.2017.130","","","","","","","2017","","Proceedings of the 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing","CCGrid '17","","978-1-5090-6610-0","Madrid, Spain","IEEE Press","Piscataway, NJ, USA"
"article","1555319","Liang  Liu and Hao  Wang and Xue  Liu and Xing  Jin and Wen Bo He and Qing Bo Wang and Ying  Chen","","","","GreenCloud: A New Architecture for Green Data Center","29--38","","10","green cloud computing, power saving, virtualization","10.1145/1555312.1555319","","","","","","","2009","","Proceedings of the 6th International Conference Industry Session on Autonomic Computing and Communications Industry Session","ICAC-INDST '09","","978-1-60558-612-0","Barcelona, Spain","ACM","New York, NY, USA"
"article","1851520","Ivan  Rodero and Juan  Jaramillo and Andres  Quiroz and Manish  Parashar and Francesc  Guim","","","","Towards Energy-aware Autonomic Provisioning for Virtualized Environments","320--323","","4","autonomic computing, cloud computing, data center, energy efficiency, resource provisioning, virtualization","10.1145/1851476.1851520","","","","","","","2010","","Proceedings of the 19th ACM International Symposium on High Performance Distributed Computing","HPDC '10","","978-1-60558-942-8","Chicago, Illinois","ACM","New York, NY, USA"
"article","2391250","Nohhyun  Park and Irfan  Ahmad and David J. Lilja","","","","Romano: Autonomous Storage Management Using Performance Prediction in Multi-tenant Datacenters","21:1--21:14","21","14","QoS, VM, device, modeling, storage, virtualization","10.1145/2391229.2391250","","","","","","","2012","","Proceedings of the Third ACM Symposium on Cloud Computing","SoCC '12","","978-1-4503-1761-0","San Jose, California","ACM","New York, NY, USA"
"article","2038935","Ajay  Gulati and Ganesha  Shanmuganathan and Irfan  Ahmad and Carl  Waldspurger and Mustafa  Uysal","","","","Pesto: Online Storage Performance Management in Virtualized Datacenters","19:1--19:14","19","14","QoS, VM, device, modeling, storage, virtualization","10.1145/2038916.2038935","","","","","","","2011","","Proceedings of the 2Nd ACM Symposium on Cloud Computing","SOCC '11","","978-1-4503-0976-9","Cascais, Portugal","ACM","New York, NY, USA"
"article","3167178","Rodrigo  Fernandes and Jos&#233;  Sim&#227;o and Lu&#237;s  Veiga","","","","EcoVMbroker: Energy-aware Scheduling for Multi-layer Datacenters","403--410","","8","DVFS, energy efficiency, partial utility, virtual machice scheduling","10.1145/3167132.3167178","","","","","","","2018","","Proceedings of the 33rd Annual ACM Symposium on Applied Computing","SAC '18","","978-1-4503-5191-1","Pau, France","ACM","New York, NY, USA"
"article","2671003","Liuhua  Chen and Haiying  Shen and Karan  Sapra","","","","Distributed Autonomous Virtual Resource Management in Datacenters Using Finite-Markov Decision Process","24:1--24:13","24","13","Cloud computing, MDP, Resource management","10.1145/2670979.2671003","","","","","","","2014","","Proceedings of the ACM Symposium on Cloud Computing","SOCC '14","","978-1-4503-3252-1","Seattle, WA, USA","ACM","New York, NY, USA"
"article","1555346","Stuart  Hacking and Beno&#238;t  Hudzia","","","","Improving the Live Migration Process of Large Enterprise Applications","51--58","","8","delta compression, distributed systems, erp, live migration, sap, virtualisation","10.1145/1555336.1555346","","","","","","","2009","","Proceedings of the 3rd International Workshop on Virtualization Technologies in Distributed Computing","VTDC '09","","978-1-60558-580-2","Barcelona, Spain","ACM","New York, NY, USA"
"article","2287066","Jagmohan  Chauhan and Dwight  Makaroff","","","","Performance Evaluation of Video-on-demand in Virtualized Environments: The Client Perspective","29--36","","8","i/o virtualization, kvm, vhost-net, video-on-demand, virtio","10.1145/2287056.2287066","","","","","","","2012","","Proceedings of the 6th International Workshop on Virtualization Technologies in Distributed Computing Date","VTDC '12","","978-1-4503-1344-5","Delft, The Netherlands","ACM","New York, NY, USA"
"article","2648764","Can  Hankendi and Sherief  Reda and Ayse K. Coskun","","","","vCap: Adaptive Power Capping for Virtualized Servers","415--420","","6","","","","","","","","","2013","","Proceedings of the 2013 International Symposium on Low Power Electronics and Design","ISLPED '13","","978-1-4799-1235-3","Beijing, China","IEEE Press","Piscataway, NJ, USA"
"article","3180713","Haiying  Shen and Liuhua  Chen","","","","Distributed Autonomous Virtual Resource Management in Datacenters Using Finite-Markov Decision Process","3836--3849","","14","","10.1109/TNET.2017.2759276","IEEE/ACM Trans. Netw.","December 2017","25","6","","December","2017","1063-6692","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","2677846","Xiaoda  Zhang and Haiyan  Chen and Xin  Li and Zhuzhong  Qian and Sheng  Zhang and Sanglu  Lu","","","","Guarantee High Reliability and Effectiveness for Softwares in Internetware","107--115","","9","Internetware, effectiveness, mutually-exclusive location, reliability, resource management, traffic aware","10.1145/2677832.2677846","","","","","","","2014","","Proceedings of the 6th Asia-Pacific Symposium on Internetware on Internetware","INTERNETWARE 2014","","978-1-4503-3303-0","Hong Kong, China","ACM","New York, NY, USA"
"article","2331580","Ibrahim  Takouna and Wesam  Dawoud and Christoph  Meinel","","","","Energy Efficient Scheduling of HPC-jobs on Virtualize Clusters Using Host and VM Dynamic Configuration","19--27","","9","","10.1145/2331576.2331580","SIGOPS Oper. Syst. Rev.","July 2012","46","2","","July","2012","0163-5980","","","","","","ACM","New York, NY, USA"
"article","2759990","Lucio A. Rocha and Eleri  Cardozo","","","","A Hybrid Optimization Model for Green Cloud Computing","11--20","","10","","10.1109/UCC.2014.9","","","","","","","2014","","Proceedings of the 2014 IEEE/ACM 7th International Conference on Utility and Cloud Computing","UCC '14","","978-1-4799-7881-6","","IEEE Computer Society","Washington, DC, USA"
"article","2089005","G.  Mc Evoy and B.  Schulze","","","","Understanding Scheduling Implications for Scientific Applications in Clouds","3:1--3:6","3","6","clouds, schedulers, scheduling, virtualization","10.1145/2089002.2089005","","","","","","","2011","","Proceedings of the 9th International Workshop on Middleware for Grids, Clouds and e-Science","MGC '11","","978-1-4503-1068-0","Lisbon, Portugal","ACM","New York, NY, USA"
"article","1273026","Pradeep  Padala and Kang G. Shin and Xiaoyun  Zhu and Mustafa  Uysal and Zhikui  Wang and Sharad  Singhal and Arif  Merchant and Kenneth  Salem","","","","Adaptive Control of Virtualized Resources in Utility Computing Environments","289--302","","14","application QoS, control theory, data center, resource utilization, server consolidation, virtualization","10.1145/1272998.1273026","SIGOPS Oper. Syst. Rev.","June 2007","41","3","","March","2007","0163-5980","","","","","","ACM","New York, NY, USA"
"article","1273026","Pradeep  Padala and Kang G. Shin and Xiaoyun  Zhu and Mustafa  Uysal and Zhikui  Wang and Sharad  Singhal and Arif  Merchant and Kenneth  Salem","","","","Adaptive Control of Virtualized Resources in Utility Computing Environments","289--302","","14","application QoS, control theory, data center, resource utilization, server consolidation, virtualization","10.1145/1272996.1273026","","","","","","","2007","","Proceedings of the 2Nd ACM SIGOPS/EuroSys European Conference on Computer Systems 2007","EuroSys '07","","978-1-59593-636-3","Lisbon, Portugal","ACM","New York, NY, USA"
"article","2499446","Thomas  Treutner and Helmut  Hlavacs","","","","Service Level Management for Iterative Pre-copy Live Migration","252--256","","5","","","","","","","","","2013","","Proceedings of the 8th International Conference on Network and Service Management","CNSM '12","","978-1-4503-2210-2","Las Vegas, Nevada","International Federation for Information Processing","Laxenburg, Austria, Austria"
