Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A Trust and Reputation System for Energy Optimization in Cloud Data Centers,I. Aransay; M. Zapater; P. Arroba; J. M. Moya,NA; NA; NA; NA,2015 IEEE 8th International Conference on Cloud Computing,,2015,,,138,145,"The increasing success of Cloud Computing applications and online services has contributed to the unsustainability of data center facilities in terms of energy consumption. Higher resource demand has increased the electricity required by computation and cooling resources, leading to power shortages and outages, specially in urban infrastructures. Current energy reduction strategies for Cloud facilities usually disregard the data center topology, the contribution of cooling consumption and the scalability of optimization strategies. Our work tackles the energy challenge by proposing a temperature-aware VM allocation policy based on a Trust-and-Reputation System (TRS). A TRS meets the requirements for inherently distributed environments such as data centers, and allows the implementation of autonomous and scalable VM allocation techniques. For this purpose, we model the relationships between the different computational entities, synthesizing this information in one single metric. This metric, called reputation, would be used to optimize the allocation of VMs in order to reduce energy consumption. We validate our approach with a state-of-the-art Cloud simulator using real Cloud traces. Our results show considerable reduction in energy consumption, reaching up to 46.16% savings in computing power and 17.38% savings in cooling, without QoS degradation while keeping servers below thermal redlining. Moreover, our results show the limitations of the PUE ratio as a metric for energy efficiency. To the best of our knowledge, this paper is the first approach in combining Trust-and-Reputation systems with Cloud Computing VM allocation.",2159-6190;2159-6182,978-1-4673-7287-9978-1-4673-7286,10.1109/CLOUD.2015.28,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7214038,Green Cloud computing;Trust-and-Reputation Systems;VM Allocation;Data Centers,Servers;Resource management;Energy consumption;Measurement;Clouds;Quality of service;Cloud computing,cloud computing;computer centres;cooling;power aware computing;trusted computing;virtual machines,energy optimization;cloud data center facilities;cloud computing applications;online services;energy consumption;cooling resources;computation resources;urban infrastructures;energy reduction strategies;temperature-aware VM allocation policy;trust-and-reputation system;TRS;distributed environments;scalable VM allocation technique;autonomous VM allocation technique;cloud simulator;cloud traces;QoS degradation;thermal redlining;PUE ratio;cloud computing VM allocation,,2,,35,,,,,,IEEE,IEEE Conferences
Proactive framework for energy efficient job scheduling in cloud computing,R. Singh; M. Agnihotri,"Deptt of CSE, PTU Regional Centre, ACET Amritsar; Deptt of CSE, PTU Regional Centre, ACET Amritsar",2016 2nd International Conference on Contemporary Computing and Informatics (IC3I),,2016,,,711,717,"Cloud Computing is a very fast emerging technology as every enterprise is moving fast towards this system. Cloud Computing is known as a provider of dynamic services. It optimizes a very large, scalable and virtualized resource. So lots of industries have joined this bandwagon nowadays. One of the major research issues is to maintain good Quality of Service (QoS) of a Cloud Service Provider (CSP). The QoS encompasses different parameters, like, smart job allocation strategy, efficient load balancing, response time optimization, reduction in wastage of bandwidth, accountability of the overall system, etc. The efficient allocation strategy of the independent computational jobs among different Virtual Machines (VM) in a Datacenter (DC) is a distinguishable challenge in the Cloud Computing domain and finding out an optimal job allocation strategy guided by a good scheduling heuristic for such an environment is an Mape-k loop problem. So different heuristic approaches may be used for better result and in this work we implement worst fit in Mape-k and evaluated the results.",,978-1-5090-5256-1978-1-5090-5255-4978-1-5090-5257,10.1109/IC3I.2016.7918054,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7918054,Quality of Service (QoS);Cloud Service Provider (CSP);Virtual Machine (VM);Datacenter (DC);Estimated computing time(ETC),Decision support systems;Informatics;Handheld computers,cloud computing;computer centres;power aware computing;resource allocation;scheduling;virtual machines,energy efficient job scheduling;cloud computing;quality of service;QoS;cloud service provider;CSP;load balancing;response time optimization;bandwidth wastage reduction;virtual machines;VM;data center;job allocation strategy;Mape-k loop problem,,,,19,,,,,,IEEE,IEEE Conferences
Free cooling-aware dynamic power management for green datacenters,J. Kim; M. Ruggiero; D. Atienza,"Embedded Systems Lab (ESL), EPFL, Lausanne, Switzerland; Embedded Systems Lab (ESL), EPFL, Lausanne, Switzerland; Embedded Systems Lab (ESL), EPFL, Lausanne, Switzerland",2012 International Conference on High Performance Computing & Simulation (HPCS),,2012,,,140,146,"Free cooling, i.e., directly using outside cold air and/or water to cool down datacenters, can provide significant power savings of datacenters. However, due to the limited cooling capability, which is tightly coupled with climate conditions, free cooling is currently used only in limited locations (e.g., North Europe) and periods of the year. Moreover, the applicability of free cooling is further restricted along with the conservative assumption on workload characteristics and the virtual machine (VM) consolidation technique as they require to provision higher cooling capability. This paper presents a dynamic power management scheme, which extends the applicability of free cooling by judiciously consolidating VMs exploiting time-varying workload characteristics of datacenter as well as climate conditions, in order to minimize the power consumption of the entire datacenter while satisfying service-level agreement (SLA) requirements. Additionally, we propose the use of a receding horizon control scheme in order to prevent frequent cooling mode transitions. Experimental results show that the proposed solution provides up to 25.7% power savings compared to conventional free cooling decision schemes, which uses free cooling only when the outside temperature is lower than predefined threshold temperature.",,978-1-4673-2362-8978-1-4673-2359-8978-1-4673-2361,10.1109/HPCSim.2012.6266903,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6266903,Architectures for green computing;Power aware architectures;Virtualization and virtual machines;Energy efficient HPC systems,Cooling;Servers;Power demand;Optimization;Meteorology;Virtual machining;Computer architecture,computer centres;cooling;power aware computing;power consumption;virtual machines,free cooling-aware dynamic power management;green datacenters;outside cold air;power savings;climate conditions;North Europe;virtual machine consolidation technique;VM consolidation technique;dynamic power management scheme;time-varying workload characteristics;service-level agreement;SLA requirement;receding horizon control scheme;cooling mode transitions,,16,,32,,,,,,IEEE,IEEE Conferences
Energy-Aware Distributed Multi-Cloud Flower Pollination Optimization Scheme,U. M. Joda; A. S. Ismail; A. Y. Gital; A. Aliyu,"Department of Computer Science Universiti, Teknologi Malaysia Johor Bahru, Malaysia; Department of Computer Science Universiti, Teknologi Malaysia Johor Bahru, Malaysia; Department of Mathematics Bauchi State, University Gadau Bauchi, Nigeria; Department of Mathematics Bauchi State, University Gadau Bauchi, Nigeria",2018 Seventh ICT International Student Project Conference (ICT-ISPC),,2018,,,1,5,"Cloud computing has rapidly emerged as a successful paradigm for providing ICT infrastructure, resources, and services on a pay-per-use basis over the past few years. The wider adoption of Cloud and virtualization technologies has led to the establishment of large-scale datacenters that consume excessive energy. This paper proposed Energy-Aware distributed MultiCloud Flower Pollination Optimization (EAdM-FPO) scheme for minimizing energy consumption and SLA violation with higher resource utilization in a distributed datacenters that belong to a single service provider located in different environments using centralized architecture. The proposed scheme overcome the limitation of using single Cloud datacenter. Four mechanisms namely; Dynamic Switching Probability (DSP), Power Usage Effectiveness (PUE), clustering, and migration controller have been incorporated into the EAdM-FPO scheme to further improve resource management and to reduce the computational complexity of the original FPA. EAdM-FPO scheme has been evaluated based on average energy consumption, VM migration, and SLA violation. In addition, the performance of the proposed EAdM-FPO scheme has been evaluated and compared with related existing schemes based on the same metrics and configuration. Thus, the EAdM-FPO scheme significantly reduce the energy consumption and increase the datacenter resource utilization with less Service Level Agreement (SLA) violation.",,978-1-5386-7805-3978-1-5386-7804-6978-1-5386-7803-9978-1-5386-7806,10.1109/ICT-ISPC.2018.8523901,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8523901,Virtualization;Power Usage Effectiveness;Cloud Datacenter;Energy optimization;Multi-Cloud,Resource management;Cloud computing;Energy consumption;Optimization;Switches;Computational modeling;Energy efficiency,cloud computing;computer centres;contracts;optimisation;power aware computing;probability;resource allocation;virtual machines;virtualisation,Cloud computing;virtualization technologies;distributed datacenters;single service provider;single Cloud datacenter;datacenter resource utilization;energy consumption;energy-aware distributed multicloud flower pollination optimization;EAdM-FPO;dynamic switching probability;DSP;power usage effectiveness;PUE;migration controller;computational complexity;VM migration;SLA violation;service level agreement violation,,,,14,,,,,,IEEE,IEEE Conferences
Multi-agent Based Architecture for Dynamic VM Consolidation in Cloud Data Centers,F. Farahnakian; T. Pahikkala; P. Liljeberg; J. Plosila; H. Tenhunen,NA; NA; NA; NA; NA,2014 40th EUROMICRO Conference on Software Engineering and Advanced Applications,,2014,,,111,118,"As the scale of cloud data centers becomes larger and larger, the energy consumption of data centers also grows rapidly. Dynamic consolidation of Virtual Machines (VMs) presents a significant opportunity to save energy by turning off idle or under-utilized Physical Machines (PMs) in data centers. In this paper, we present a multi-agent based architecture for performing dynamic VM consolidation task. The architecture uses a local agent in each PM to decide when a PM becomes overloaded using reinforcement learning approach. Moreover, a global agent is proposed as a supervisor to dynamically optimize the VM placement based on the local agents' decisions. Therefore, agents cooperate together to minimize the number of active PMs according to the current resource requirements. Experimental results on the real workload traces from more than a thousand Planet Lab virtual machines show that the proposed architecture can reduce the energy consumption and maintains the required performance level in a large-scale data center.",1089-6503;2376-9505,978-1-4799-5795,10.1109/SEAA.2014.56,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6928798,Dynamic VM consolidation;energy-efficiency;reinforcement learning;multi-agent model;green cloud computing,Servers;Resource management;Heuristic algorithms;Quality of service;Power demand;Computer architecture;Energy consumption,cloud computing;computer centres;energy conservation;learning (artificial intelligence);multi-agent systems;virtual machines,multi-agent based architecture;dynamic VM consolidation;virtual machines;cloud data centers;physical machines;energy savings;reinforcement learning approach;VM placement;resource requirements;Planet Lab virtual machines;energy consumption reduction,,7,,26,,,,,,IEEE,IEEE Conferences
Robust Virtual Machine Consolidation for Efficient Energy and Performance in Virtualized Data Centers,I. Takouna; E. Alzaghoul; C. Meinel,NA; NA; NA,"2014 IEEE International Conference on Internet of Things (iThings), and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom)",,2014,,,470,477,"Cloud providers use virtualization technologies to provide an isolated execution environment and agile resource provisioning. However, virtualized data centers consume huge amounts of energy, which increases the operational costs. To optimize resource usage and reduce energy consumption of Infrastructure as a Service (IaaS) Cloud, it needs a continuous monitoring and consolidation of VMs using live migration and switching idle hosts to the sleep state. In this paper, we propose a robust consolidation approach to achieve equilibrium between energy and performance. The proposed approach consists of three algorithms: over-utilized host detection, VM selection, and VM placement. Additionally, we implement an adaptive historical window selection algorithm for reducing ineffective VM migration. To validate our approach, we implemented it using Cloud Sim simulator and conducted simulations for different days of a real workload trace of Planet Lab. The results show that our approach reduced the number of power change, the number of migrations, and average SLA violations by 38%, 74.8%, and 31.8%, respectively. Furthermore, it can decrease the energy consumption of network that results from VM migration.",,978-1-4799-5967,10.1109/iThings.2014.84,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7059710,Energy-aware;resource management;virtualization;VM consolidation,Robustness;Signal to noise ratio;Market research;Standards;Algorithm design and analysis;Switches;Energy consumption,cloud computing;energy consumption;optimisation;virtual machines;virtualisation,robust virtual machine;virtualized data center;virtualization technology;energy consumption;infrastructure as a service;IaaS Cloud;robust consolidation approach;VM selection;VM placement;adaptive historical window selection algorithm;Cloud Sim simulator;Planet Lab,,9,,25,,,,,,IEEE,IEEE Conferences
Reduce VM migration in bandwidth oversubscribed cloud data centres,K. Shahzad; A. I. Umer; B. Nazir,"Department of IT, Hazara University Mansehra, Pakistan; Department of IT, Hazara University Mansehra, Pakistan; Department of Computer Science, CIIT Abbottabad, Pakistan","2015 IEEE 12th International Conference on Networking, Sensing and Control",,2015,,,140,145,"In modern data centres (DCs), energy consumption and resource management are challenging tasks. So in large virtualized DCs, performance of applications is highly dependent on energy-aware DC architecture and smooth network communication between virtual machines (VMs), while minimizing the communication burden to avoid congestion, latency etc. The communication cost of a network can be reduced by minimizing the VMs migration between physical machines (PMs). Therefore customer as well as service providers need cloud computing solutions that not only minimize operational costs, but also total network load. Minimizing the use of energy/network communication overhead with maximum resource utilization in large DCs is a challenging task as computing applications and data are growing so quickly for which increasing larger servers and disks are required to process them fast enough within the required time period. In order to minimize network load and maximize resource utilization in cloud DCs, we simulated our proposed network load-aware scheduling algorithm that ensures minimum VMs migration while delivering the negotiated Quality-of-Service (QoS). Our simulation also shows results with different bit rates.",,978-1-4799-8069,10.1109/ICNSC.2015.7116024,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7116024,Virtualization;Cloud DCs;Migration Overhead;Scheduling;Network Load;Bandwidth,Green products;Monitoring;Virtualization;Energy efficiency;Optimization;Bandwidth,cloud computing;computer centres;energy consumption;load distribution;power aware computing;quality of service;virtual machines,VM migration reduction;bandwidth oversubscribed cloud data centres;energy consumption;resource management;energy-aware DC architecture;network communication;virtual machines;physical machines;energy communication;maximum resource utilization;network load-aware scheduling algorithm;quality-of-service;QoS,,7,,40,,,,,,IEEE,IEEE Conferences
A Data-Driven Approach Based on Auto-Regressive Models for Energy-Efficient Clouds,A. Altomare; E. Cesario,NA; NA,"2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)",,2017,,,1062,1069,"The steadily increasing success of Cloud Computing is causing a huge rise in its electrical power consumption, contributing to higher energy costs, as well as to the greenhouse effect and the global warming. One of the most common key strategies to reduce the power consumption of data centers is the consolidation of virtual machines, whose effectiveness strongly depends on a reliable forecasting of future computational resource needs. In fact, servers are typically configured to handle peak workload conditions even if they are often under-utilized, that results in a wastefulness of resources and inefficient energy consumption. Motivated by these issues, this paper describes a data-driven approach based on auto-regressive models to dynamically forecast virtual machine workloads, for energy-aware allocations of virtual machines on Cloud physical nodes. Virtual machine migrations across physical servers are periodically done on the basis of the estimated virtual machine demands, by minimizing the number of active servers. Experimental results show encouraging benefits in terms of energy saving, while satisfying performance constraints and service level agreement established with users.",,978-1-5090-6611-7978-1-5090-5980,10.1109/CCGRID.2017.130,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7973815,Cloud computing;energy efficiency;data-driven approaches for energy-aware Cloud;forecasting,Servers;Virtual machining;Resource management;Cloud computing;Energy consumption;Predictive models;Computer architecture,cloud computing;contracts;energy conservation;power aware computing;virtual machines,energy-efficient clouds;auto-regressive models;virtual machine workloads;energy-aware allocations;cloud computing;virtual machine migrations;energy saving;service level agreement,,,,19,,,,,,IEEE,IEEE Conferences
VM scheduling strategies based on artificial intelligence in Cloud Testing,Y. Zheng; L. Cai; S. Huang; Z. Wang,"School of Information Science &amp; Engineering East China University of Science and Technology Shanghai, China; School of Information Science &amp; Engineering East China University of Science and Technology Shanghai, China; Department of Computer Science and Technology of Xinyang Normal University; School of Information Science &amp; Engineering East China University of Science and Technology Shanghai, China","15th IEEE/ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD)",,2014,,,1,7,"Virtualization technology not only is the basis of Cloud computing technology, but also plays an important role in Cloud Testing. Cloud Testing takes advantage of virtualization technology to generate VM (virtual machine) resources in the physical machine, and adopts the corresponding strategies to schedule the VM resources. VM scheduling strategies have a crucial impact on the overall performance of Cloud Testing. The paper first introduces the scheduling process of VM in Cloud Testing, and divides the common scheduling strategies into three categories: center on saving energy, center on load balancing and center on Qos performance. Then the common VM scheduling strategies in current Cloud Testing environment are analyzed. Finally, their advantages and disadvantages are also discussed.",,978-1-4799-5604,10.1109/SNPD.2014.6888746,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6888746,VM;Cloud Testing;Virtual Machine scheduling;Cloud computing,Testing;Load management;Cloud computing;Processor scheduling;Genetic algorithms;Quality of service;Scheduling,artificial intelligence;cloud computing;program testing;virtual machines,VM scheduling strategies;artificial intelligence;cloud testing;cloud computing technology;virtualization technology;virtual machine;VM resources;Qos performance;load balancing;saving energy,,4,,47,,,,,,IEEE,IEEE Conferences
To investigate classical scheduling schemes with power management in IaaS cloud environment for HPC workloads,A. A. Chandio; M. S. Korejo; I. A. Korejo; M. S. Chandio,"Institute of Mathematics and Computer Science, University of Sindh, Jamshoro 70680 Sindh, Pakistan; Institute of Mathematics and Computer Science, University of Sindh, Jamshoro 70680 Sindh, Pakistan; Institute of Mathematics and Computer Science, University of Sindh, Jamshoro 70680 Sindh, Pakistan; Institute of Mathematics and Computer Science, University of Sindh, Jamshoro 70680 Sindh, Pakistan",2017 IEEE 15th Student Conference on Research and Development (SCOReD),,2017,,,121,126,"This paper addresses the well-known virtual machine (VM) scheduling problem in infrastructure as a service (IaaS) cloud environments to reduce the operational cost of the system together satisfying quality of service (QoS) constraints. We provide the study to investigate classical scheduling schemes incorporated with power management techniques i.e., the dynamic voltage and frequency scaling (DVFS) in Private IaaS cloud environment for high performance computing (HPC) workloads. Specifically, one first served-based policy i.e., first come first serve (FCFS), two size-based policies i.e., smallest job first (SmJF) and shortest job first (ShJF), and one backfilling policy i.e., aggressive backfilling first (AgBF), are considered to investigate the environment. The highlighted the strengths and weaknesses of the VM scheduling schemes in this paper can help to choose the most appropriate scheme in the environment.",,978-1-5386-2126-4978-1-5386-2125-7978-1-5386-2127,10.1109/SCORED.2017.8305409,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8305409,cloud computing;energy efficiency;scheduling;power management;DVFS;HPC,Cloud computing;Computational modeling;Scheduling;Servers;Energy efficiency;Processor scheduling;Data centers,cloud computing;parallel processing;quality of service;scheduling;virtual machines,classical scheduling schemes;HPC workloads;virtual machine scheduling problem;service cloud environments;dynamic voltage;frequency scaling;Private IaaS cloud environment;high performance computing workloads;VM scheduling schemes;power management techniques;virtual machine;infrastructure as a service;quality of service;IaaS;QoS,,,,16,,,,,,IEEE,IEEE Conferences
On load balancing and resource allocation in cloud services,N. Leontiou; D. Dechouniotis; N. Athanasopoulos; S. Denazis,"Electrical and Computer Engineering Department, University of Patras, Greece; Electrical and Computer Engineering Department, University of Patras, Greece; Electrical Engineering Department, Eindhoven University of Technology, the Netherlands; Electrical and Computer Engineering Department, University of Patras, Greece",22nd Mediterranean Conference on Control and Automation,,2014,,,773,778,"Service providers must guarantee high quality of service (QoS) for each web application in a data center and simultaneously achieve optimal utilization of their infrastructure. Meeting the Service Level Objectives (SLOs), such as response time in a dynamic environment with a dense load and varying capacity, and simultaneously minimizing the energy consumption of the data center is an open research problem. This paper presents a control framework that addresses both problems of load balancing and resource allocation of consolidated web services in cloud computing infrastructure. The proposed approach aims at succeeding the customer requirements described in a Service Level Agreement (SLA) while maximizing server utilization. A hierarchical two-layer controller is established. The local (lower) level controllers determine the capacity and admitted workload of Virtual Machines (VMs), which correspond to a set of feasible operating points with performance guarantee. The global (upper) level decides the number and topology of active VMs that serve the total service demand and activates only the minimum number of servers. The cooperation of the two control layers ensures the system stability against the fluctuations of incoming requests and the system constraints.",,978-1-4799-5901-3978-1-4799-5900,10.1109/MED.2014.6961467,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6961467,,Servers;Resource management;Optimization;Time factors;Admission control;Time measurement,cloud computing;computer centres;contracts;control engineering computing;level control;quality of service;resource allocation;virtual machines;Web services,load balancing;resource allocation;cloud services;quality of service;QoS;service providers;data center;service level objectives;SLO;response time;dynamic environment;dense load;varying capacity;open research problem;cloud computing infrastructure;consolidated Web services;service level agreement;SLA;server utilization maximization;hierarchical two-layer controller;local level controllers;virtual machines;performance guarantee;control layers;global level controllers;operating points;active VM,,,,14,,,,,,IEEE,IEEE Conferences
Inter-and-intra data center VM-placement for energy-efficient large-Scale cloud systems,B. Kantarci; L. Foschini; A. Corradi; H. T. Mouftah,"School of Electrical Engineering and Computer Science of the University of Ottawa, Ottawa, ON, K1N 6N5, Canada; Dipartimento di Elettronica, Informatica e Sistemistica University of Bologna, Bologna, Italy; Dipartimento di Elettronica, Informatica e Sistemistica University of Bologna, Bologna, Italy; School of Electrical Engineering and Computer Science of the University of Ottawa, Ottawa, ON, K1N 6N5, Canada",2012 IEEE Globecom Workshops,,2012,,,708,713,"Data centers play the crucial role in the delivery of Cloud services by enabling on-demand access to the shared resources such as software, platform, and infrastructure. Virtual Machine (VM) allocation is one of the challenging tasks in the data center management since user requirements, typically expressed as SLAs, have to be met with the minimum operational expenditure. Despite their huge processing and storage facilities, data centers are among the major contributors of the GreenHouse Gas (GHG) emissions of the IT services. In this paper, we propose a holistic approach for a large-scale Cloud system where the Cloud services are provisioned by several data centers interconnected over the backbone network. We propose a Mixed Integer Linear Programming (MILP) formulation that aims at virtualizing the backbone topology and placing the VMs in data centers with the objective of minimum power consumption. We compare our proposed solution with a benchmark MILP model which selects the closest data centers that can accommodate the user requests taking into account the CPU, memory, and bandwidth capacities of the residing physical hosts. Collected experimental results show the benefit of the proposed management scheme in terms of power consumption, resource utilization, and fairness for medium size data centers.",2166-0077,978-1-4673-4941-3978-1-4673-4942-0978-1-4673-4940,10.1109/GLOCOMW.2012.6477661,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6477661,Cloud computing;data center management;energy efficiency;virtual topology;VM placement,Power demand;Benchmark testing;Equations;Topology;Mathematical model;Network topology;Cloud computing,cloud computing;computer centres;power aware computing;virtual machines,intra data center VM placement;inter data center VM placement;energy efficient large scale cloud systems;cloud services;virtual machine allocation;data center management;SLA;GreenHouse Gas emissions;GHG;mixed integer linear programming;MILP;backbone network,,19,,23,,,,,,IEEE,IEEE Conferences
Hybrid Method for Minimizing Service Delay in Edge Cloud Computing Through VM Migration and Transmission Power Control,T. G. Rodrigues; K. Suto; H. Nishiyama; N. Kato,"Graduate School of Information Sciences, Tohoku University, Sendai, Miyagi, Japan; University of Waterloo, Waterloo, ON, Canada; Graduate School of Information Sciences, Tohoku University, Sendai, Miyagi, Japan; Graduate School of Information Sciences, Tohoku University, Sendai, Miyagi, Japan",IEEE Transactions on Computers,,2017,66,5,810,819,"Due to physical limitations, mobile devices are restricted in memory, battery, processing, among other characteristics. This results in many applications that cannot be run in such devices. This problem is fixed by Edge Cloud Computing, where the users offload tasks they cannot run to cloudlet servers in the edge of the network. The main requirement of such a system is having a low Service Delay, which would correspond to a high Quality of Service. This paper presents a method for minimizing Service Delay in a scenario with two cloudlet servers. The method has a dual focus on computation and communication elements, controlling Processing Delay through virtual machine migration and improving Transmission Delay with Transmission Power Control. The foundation of the proposal is a mathematical model of the scenario, whose analysis is used on a comparison between the proposed approach and two other conventional methods; these methods have single focus and only make an effort to improve either Transmission Delay or Processing Delay, but not both. As expected, the proposal presents the lowest Service Delay in all study cases, corroborating our conclusion that a dual focus approach is the best way to tackle the Service Delay problem in Edge Cloud Computing.",0018-9340;1557-9956;2326-3814,,10.1109/TC.2016.2620469,Research and Development; ICT; National Institute of Information and Communications Technology (NICT); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7636965,Edge cloud computing;cloudlet;service delay minimization;resource management;virtualization;transmission power control,Delays;Servers;Cloud computing;Mobile handsets;Proposals;Power control;Process control,cloud computing;delays;file servers;mobile computing;power aware computing;quality of service;resource allocation;virtual machines;virtualisation,hybrid service delay minimization method;edge cloud computing;VM migration;transmission power control;mobile devices;cloudlet servers;service delay;quality of service;communication elements;processing delay control;virtual machine migration;transmission delay;processing delay,,62,,30,,,,,,IEEE,IEEE Journals & Magazines
Energy-saving analysis of Cloud workload based on K-means clustering,Qingxin Xia; Yuqing Lan; Liang Zhao; Limin Xiao,"School of Computer Science and Engineering, Beihang University, Beijing, China; School of Computer Science and Engineering, Beihang University, Beijing, China; School of Computer Science and Engineering, Beihang University, Beijing, China; School of Computer Science and Engineering, Beihang University, Beijing, China","2014 IEEE Computers, Communications and IT Applications Conference",,2014,,,305,309,"With the development of cloud infrastructure services, IaaS(Infrastructure as a Service) study on energy-saving technology has been attracted more and more attention. IaaS platform providers can provide high performance service for the users. Meanwhile, how to save the energy cost of the cloud platform must be considered without violating the Service Level Agreement(SLA). The overload and underload are two running statuses of physical machine(PM), the former will cause the possibility of SLA violation, while the latter will cause the low utilization rate of PM's resources, causing additional energy consumption. This paper proposes a model of workload characteristic based on K-means clustering analysis, using Google workload trace data set, which is the basis of virtual machine(VM) migrating when PM has been underloading or overloading. The establishment of workload characteristic model can present the demand of system resources in real time so that VM scheduling strategies carry out efficiently.",,978-1-4799-4811-6978-1-4799-4813,10.1109/ComComAp.2014.7017215,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7017215,IaaS;energy-saving;workload;K-means,Energy consumption;Clustering algorithms;Analytical models;Google;Servers;Computational modeling;Cloud computing,cloud computing;pattern clustering;power aware computing;scheduling;virtual machines,energy-saving analysis;cloud workload;k-means clustering;cloud infrastructure services;infrastructure as a service;energy-saving technology;IaaS platform;high performance service;energy cost savïng;service level agreement;physical machine;PM;SLA violation;energy consumption;Google workload trace data set;virtual machine;workload characteristic model;VM scheduling strategies,,,,15,,,,,,IEEE,IEEE Conferences
Virtual Machine Placement for Improved Quality in IaaS Cloud,K. R. R. Babu; P. Samuel,NA; NA,2014 Fourth International Conference on Advances in Computing and Communications,,2014,,,190,194,"Cloud computing, with its immense potentials in low cost and on-demand services, is a promising computing platform for both commercial and non-commercial computation applications. It focuses on the sharing of information and computation in a large network that are quite likely to be owned by geographically disbursed different vendors. The proposed Bin packing based algorithm tries to maximize the resource utilization in a cloud datacenter and thereby increasing the profit of that cloud provider. In the proposed system, Best-fit -- Worst-fit strategy efficiently places the virtual machines to the less number of active physical servers. The jobs are scheduled using best-fit approach. The cloud broker employs worst-fit method for VM placement. The simulation result shows the significant improvements in the performance of the cloud system.",,978-1-4799-4363-0978-1-4799-4364,10.1109/ICACC.2014.53,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6906022,Cloud computing;VM Placement;Job Scheduling;Computation cost;Service Level Agreement,Cloud computing;Resource management;Power demand;Servers;Processor scheduling;Computational modeling;Virtual machining,cloud computing;virtual machines,virtual machine placement;IaaS;cloud computing;on-demand services;cloud provider;best-fit -- worst-fit strategy,,3,,19,,,,,,IEEE,IEEE Conferences
Multi-objective optimization for dynamic virtual machine management in cloud data center,F. Ma; L. Zhang,"Beijing Key Laboratory of Cloud Computing Standard and Verification, Institute of Communication Standards Research, China Academy of Information and Communication Technology, Beijing, China; School of Economics and Management, Beijing Jiaotong University, Beijing, China",2015 6th IEEE International Conference on Software Engineering and Service Science (ICSESS),,2015,,,170,174,"Virtual machine (VM) management in cloud data center is an important problem that remains to be effectively addressed. There has been a considerable amount of work investigating the management of physical-to-virtual resource mappings to improve the efficiencies of resource usage and power consumption in data center. However, these different management objectives are conflicting. One solution can't get the optimal at the same time for each objective. In this paper, a multi-objective optimization approach is proposed to manage the dynamic mapping of VMs to physical resources in cloud data center. The main decisions required to solve this problem are when, which and where to move VMs. The decisions of when to migrate VMs are based on the sliding-window and the thresholds, the decisions of which VMs to be migrated are based on the different VM selection strategies, and the decisions of where to migrate VMs are based on the TOPSIS in order to balance the conflict between different objectives. Experimental results show that compared with other approaches, our multi-objective optimization approach can not only get the lower SLA violation, the smaller resource load and the less power consumption, but also have the least number of VM migration.",2327-0594;2327-0586,978-1-4799-8353-7978-1-4799-8352-0978-1-4799-8351,10.1109/ICSESS.2015.7339030,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7339030,cloud computing;virtualization;virtual machine management;multi-objective optimization,Cloud computing;Power demand;Monitoring;Quality of service;Servers;Optimization;Random access memory,cloud computing;computer centres;optimisation;power consumption;virtual machines;virtualisation,dynamic virtual machine management;cloud data center;VM management;physical-to-virtual resource mapping;resource usage;power consumption;multiobjective optimization approach;dynamic mapping;VM selection strategy;TOPSIS;SLA violation;resource load,,2,,16,,,,,,IEEE,IEEE Conferences
